position	page_id	cell_ordinal	cell_id	damage_class	level	lighting	sequence	q	payload_id	lineage	profile	template	master_path	master_sha256	scheduled_slot_1	scheduled_slot_2	scheduled_slot_3
139	P1-c23-S09-q00-T0-Rs72_60-T	23	scuff-1-S09	scuff	1	std	S09	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c23-S09-q00-T0-Rs72_60-T-A01	P1-c23-S09-q00-T0-Rs72_60-T-A02	P1-c23-S09-q00-T0-Rs72_60-T-A03
140	P1-c23-S09-q01-T0-Rs76_60-R	23	scuff-1-S09	scuff	1	std	S09	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c23-S09-q01-T0-Rs76_60-R-A01	P1-c23-S09-q01-T0-Rs76_60-R-A02	P1-c23-S09-q01-T0-Rs76_60-R-A03
141	P1-c23-S09-q02-T0-Rs80_60-T	23	scuff-1-S09	scuff	1	std	S09	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c23-S09-q02-T0-Rs80_60-T-A01	P1-c23-S09-q02-T0-Rs80_60-T-A02	P1-c23-S09-q02-T0-Rs80_60-T-A03
142	P1-c23-S09-q09-T3-Rs72_60-R	23	scuff-1-S09	scuff	1	std	S09	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c23-S09-q09-T3-Rs72_60-R-A01	P1-c23-S09-q09-T3-Rs72_60-R-A02	P1-c23-S09-q09-T3-Rs72_60-R-A03
143	P1-c23-S09-q10-T3-Rs76_60-T	23	scuff-1-S09	scuff	1	std	S09	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c23-S09-q10-T3-Rs76_60-T-A01	P1-c23-S09-q10-T3-Rs76_60-T-A02	P1-c23-S09-q10-T3-Rs76_60-T-A03
144	P1-c23-S09-q11-T3-Rs80_60-R	23	scuff-1-S09	scuff	1	std	S09	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c23-S09-q11-T3-Rs80_60-R-A01	P1-c23-S09-q11-T3-Rs80_60-R-A02	P1-c23-S09-q11-T3-Rs80_60-R-A03
145	P1-c24-S10-q00-T0-Rs72_60-R	24	scuff-2-S10	scuff	2	std	S10	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c24-S10-q00-T0-Rs72_60-R-A01	P1-c24-S10-q00-T0-Rs72_60-R-A02	P1-c24-S10-q00-T0-Rs72_60-R-A03
146	P1-c24-S10-q01-T0-Rs76_60-T	24	scuff-2-S10	scuff	2	std	S10	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c24-S10-q01-T0-Rs76_60-T-A01	P1-c24-S10-q01-T0-Rs76_60-T-A02	P1-c24-S10-q01-T0-Rs76_60-T-A03
147	P1-c24-S10-q02-T0-Rs80_60-R	24	scuff-2-S10	scuff	2	std	S10	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c24-S10-q02-T0-Rs80_60-R-A01	P1-c24-S10-q02-T0-Rs80_60-R-A02	P1-c24-S10-q02-T0-Rs80_60-R-A03
148	P1-c24-S10-q09-T3-Rs72_60-T	24	scuff-2-S10	scuff	2	std	S10	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c24-S10-q09-T3-Rs72_60-T-A01	P1-c24-S10-q09-T3-Rs72_60-T-A02	P1-c24-S10-q09-T3-Rs72_60-T-A03
149	P1-c24-S10-q10-T3-Rs76_60-R	24	scuff-2-S10	scuff	2	std	S10	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c24-S10-q10-T3-Rs76_60-R-A01	P1-c24-S10-q10-T3-Rs76_60-R-A02	P1-c24-S10-q10-T3-Rs76_60-R-A03
150	P1-c24-S10-q11-T3-Rs80_60-T	24	scuff-2-S10	scuff	2	std	S10	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c24-S10-q11-T3-Rs80_60-T-A01	P1-c24-S10-q11-T3-Rs80_60-T-A02	P1-c24-S10-q11-T3-Rs80_60-T-A03
151	P1-c25-S11-q00-T0-Rs72_60-T	25	scuff-3-S11	scuff	3	std	S11	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c25-S11-q00-T0-Rs72_60-T-A01	P1-c25-S11-q00-T0-Rs72_60-T-A02	P1-c25-S11-q00-T0-Rs72_60-T-A03
152	P1-c25-S11-q01-T0-Rs76_60-R	25	scuff-3-S11	scuff	3	std	S11	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c25-S11-q01-T0-Rs76_60-R-A01	P1-c25-S11-q01-T0-Rs76_60-R-A02	P1-c25-S11-q01-T0-Rs76_60-R-A03
153	P1-c25-S11-q02-T0-Rs80_60-T	25	scuff-3-S11	scuff	3	std	S11	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c25-S11-q02-T0-Rs80_60-T-A01	P1-c25-S11-q02-T0-Rs80_60-T-A02	P1-c25-S11-q02-T0-Rs80_60-T-A03
154	P1-c25-S11-q09-T3-Rs72_60-R	25	scuff-3-S11	scuff	3	std	S11	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c25-S11-q09-T3-Rs72_60-R-A01	P1-c25-S11-q09-T3-Rs72_60-R-A02	P1-c25-S11-q09-T3-Rs72_60-R-A03
155	P1-c25-S11-q10-T3-Rs76_60-T	25	scuff-3-S11	scuff	3	std	S11	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c25-S11-q10-T3-Rs76_60-T-A01	P1-c25-S11-q10-T3-Rs76_60-T-A02	P1-c25-S11-q10-T3-Rs76_60-T-A03
156	P1-c25-S11-q11-T3-Rs80_60-R	25	scuff-3-S11	scuff	3	std	S11	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c25-S11-q11-T3-Rs80_60-R-A01	P1-c25-S11-q11-T3-Rs80_60-R-A02	P1-c25-S11-q11-T3-Rs80_60-R-A03
157	P1-c26-S06-q00-T0-Rs72_60-R	26	water-1-S06	water	1	std	S06	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c26-S06-q00-T0-Rs72_60-R-A01	P1-c26-S06-q00-T0-Rs72_60-R-A02	P1-c26-S06-q00-T0-Rs72_60-R-A03
158	P1-c26-S06-q01-T0-Rs76_60-T	26	water-1-S06	water	1	std	S06	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c26-S06-q01-T0-Rs76_60-T-A01	P1-c26-S06-q01-T0-Rs76_60-T-A02	P1-c26-S06-q01-T0-Rs76_60-T-A03
159	P1-c26-S06-q02-T0-Rs80_60-R	26	water-1-S06	water	1	std	S06	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c26-S06-q02-T0-Rs80_60-R-A01	P1-c26-S06-q02-T0-Rs80_60-R-A02	P1-c26-S06-q02-T0-Rs80_60-R-A03
160	P1-c26-S06-q09-T3-Rs72_60-T	26	water-1-S06	water	1	std	S06	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c26-S06-q09-T3-Rs72_60-T-A01	P1-c26-S06-q09-T3-Rs72_60-T-A02	P1-c26-S06-q09-T3-Rs72_60-T-A03
161	P1-c26-S06-q10-T3-Rs76_60-R	26	water-1-S06	water	1	std	S06	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c26-S06-q10-T3-Rs76_60-R-A01	P1-c26-S06-q10-T3-Rs76_60-R-A02	P1-c26-S06-q10-T3-Rs76_60-R-A03
162	P1-c26-S06-q11-T3-Rs80_60-T	26	water-1-S06	water	1	std	S06	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c26-S06-q11-T3-Rs80_60-T-A01	P1-c26-S06-q11-T3-Rs80_60-T-A02	P1-c26-S06-q11-T3-Rs80_60-T-A03
163	P1-c27-S07-q00-T0-Rs72_60-T	27	water-2-S07	water	2	std	S07	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c27-S07-q00-T0-Rs72_60-T-A01	P1-c27-S07-q00-T0-Rs72_60-T-A02	P1-c27-S07-q00-T0-Rs72_60-T-A03
164	P1-c27-S07-q01-T0-Rs76_60-R	27	water-2-S07	water	2	std	S07	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c27-S07-q01-T0-Rs76_60-R-A01	P1-c27-S07-q01-T0-Rs76_60-R-A02	P1-c27-S07-q01-T0-Rs76_60-R-A03
165	P1-c27-S07-q02-T0-Rs80_60-T	27	water-2-S07	water	2	std	S07	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c27-S07-q02-T0-Rs80_60-T-A01	P1-c27-S07-q02-T0-Rs80_60-T-A02	P1-c27-S07-q02-T0-Rs80_60-T-A03
166	P1-c27-S07-q09-T3-Rs72_60-R	27	water-2-S07	water	2	std	S07	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c27-S07-q09-T3-Rs72_60-R-A01	P1-c27-S07-q09-T3-Rs72_60-R-A02	P1-c27-S07-q09-T3-Rs72_60-R-A03
167	P1-c27-S07-q10-T3-Rs76_60-T	27	water-2-S07	water	2	std	S07	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c27-S07-q10-T3-Rs76_60-T-A01	P1-c27-S07-q10-T3-Rs76_60-T-A02	P1-c27-S07-q10-T3-Rs76_60-T-A03
168	P1-c27-S07-q11-T3-Rs80_60-R	27	water-2-S07	water	2	std	S07	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c27-S07-q11-T3-Rs80_60-R-A01	P1-c27-S07-q11-T3-Rs80_60-R-A02	P1-c27-S07-q11-T3-Rs80_60-R-A03
169	P1-c28-S08-q00-T0-Rs72_60-R	28	water-3-S08	water	3	std	S08	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c28-S08-q00-T0-Rs72_60-R-A01	P1-c28-S08-q00-T0-Rs72_60-R-A02	P1-c28-S08-q00-T0-Rs72_60-R-A03
170	P1-c28-S08-q01-T0-Rs76_60-T	28	water-3-S08	water	3	std	S08	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c28-S08-q01-T0-Rs76_60-T-A01	P1-c28-S08-q01-T0-Rs76_60-T-A02	P1-c28-S08-q01-T0-Rs76_60-T-A03
171	P1-c28-S08-q02-T0-Rs80_60-R	28	water-3-S08	water	3	std	S08	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c28-S08-q02-T0-Rs80_60-R-A01	P1-c28-S08-q02-T0-Rs80_60-R-A02	P1-c28-S08-q02-T0-Rs80_60-R-A03
172	P1-c28-S08-q09-T3-Rs72_60-T	28	water-3-S08	water	3	std	S08	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c28-S08-q09-T3-Rs72_60-T-A01	P1-c28-S08-q09-T3-Rs72_60-T-A02	P1-c28-S08-q09-T3-Rs72_60-T-A03
173	P1-c28-S08-q10-T3-Rs76_60-R	28	water-3-S08	water	3	std	S08	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c28-S08-q10-T3-Rs76_60-R-A01	P1-c28-S08-q10-T3-Rs76_60-R-A02	P1-c28-S08-q10-T3-Rs76_60-R-A03
174	P1-c28-S08-q11-T3-Rs80_60-T	28	water-3-S08	water	3	std	S08	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c28-S08-q11-T3-Rs80_60-T-A01	P1-c28-S08-q11-T3-Rs80_60-T-A02	P1-c28-S08-q11-T3-Rs80_60-T-A03
